"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C19orf28",0.039090285358979,7.06000456928,0.300510089545835,0.766237552307906,0.933099490890635,-6.27233571589942
"ACHE",-0.0390830128205062,7.94983375,-0.106428296190438,0.916079864035884,0.978359215671353,-6.31199096392993
"RNPS1",0.0390824776474439,9.05309251704,0.65149650290738,0.520586007857454,0.84012160206137,-6.10595800959542
"ALDH16A1",-0.0390779569999928,7.39085325064,-0.351446881952297,0.728155960486617,0.921047527307223,-6.255699700885
"MEGF8",-0.0390554094358926,6.27375487924,-0.363501694333168,0.719242461849603,0.917652034083197,-6.25138584026788
"ABCC11",-0.039043200999997,2.29618814852,-0.756133320252265,0.456535209015404,0.813285188556012,-6.03332399844061
"AKR1A1",-0.0390396732820424,8.70293456144,-0.372247850306557,0.712800589317054,0.914426372656314,-6.24816591537694
"TMEM47",0.0390365968718029,9.34355100996,0.237579861903635,0.814115642621979,0.947720868005095,-6.28932219868624
"GALNT3",0.0390359226346164,2.87830912548,0.249905249894136,0.804673628241684,0.945103733065306,-6.28630643977599
"GNG13",0.0390331239487223,6.14717993188,0.461659699191351,0.648260525187854,0.892014692308494,-6.21091812692794
"CD80",-0.0390258651282007,4.7250851232,-0.504501172193352,0.61826423914852,0.878242708667225,-6.19028881671355
"NRSN2",-0.038992854641017,7.48604036208,-0.400481884937904,0.692155038519995,0.909072527260685,-6.23725525915778
"PAFAH1B1",0.0389878973653897,8.58977066412,0.719463464745362,0.478432775985644,0.822661683186197,-6.05995796099522
"ZMYND15",0.0389769370256472,7.09145216208,0.454807161166223,0.653116904022775,0.893971517378542,-6.21405109957856
"ZKSCAN2",0.0389659597179506,3.73239306028,0.41566883856171,0.681148158040765,0.904614033381449,-6.23106097831733
"RPUSD1",-0.0389572329999952,6.69401135816,-0.568089673312453,0.574969371645644,0.861534828290695,-6.15637122114769
"PLK3",-0.0389558423846079,7.79805595604,-0.241146379542021,0.811380453786724,0.946685271662567,-6.28846515258212
"NOS2",-0.038940885044866,5.45866746464,-0.195911436309811,0.846240633034288,0.958229719107101,-6.29839276452444
"OR2T2",0.0389351243333351,2.92513999968,0.271070628884573,0.788530637670754,0.939978637869753,-6.28077385339028
"TTC38",-0.0389103079999975,6.24113885616,-0.430579860374409,0.670410811918276,0.900014607996916,-6.22475814609508
"NUDT10",-0.0389060742435881,4.13119100244,-0.575498188541579,0.570025495928406,0.859429318777069,-6.15216450394017
"PACRG",0.038879248076924,5.853096491,0.452491422305916,0.654761605633969,0.894178063441951,-6.2150994383745
"OR10W1",0.0388539281025664,3.76102718972,0.313082917455615,0.756777674881212,0.930442756442251,-6.26846905174031
"CENPO",0.0388427191923091,5.92650683252,0.329153119001884,0.744742556523079,0.92650789339464,-6.26329798262818
"FAM135B",0.0388394065384632,2.5396937286,0.782323932377861,0.44126724658565,0.807209343081767,-6.0135281726387
"TBCCD1",-0.0388347616923035,5.68081641208,-0.282622247451473,0.779760065570647,0.938214521976022,-6.27756579093983
"DBNDD1",-0.0388222908974321,5.7544538196,-0.499010539563454,0.622072603346876,0.879568635741482,-6.19303292674619
"RLBP1",-0.0388212494871754,6.6023663464,-0.45026867999469,0.656341930918741,0.894637460860274,-6.21610072709185
"HAUS2",0.0388175701666702,5.71448549868,0.40537571990005,0.688600509524367,0.907126794226795,-6.23528405471357
"ALPPL2",-0.0388084698205073,8.36722672564,-0.435715824945876,0.666728749173609,0.898904651557788,-6.22253653131837
"NCOA2",0.0388075698076964,5.3998653732,0.523031394507737,0.605491990408452,0.873850487573562,-6.18081078489852
"TMEM203",0.038793231230775,8.48519313676,0.512880101257572,0.612473443481592,0.876733514901433,-6.18604451590464
"GNMT",-0.0387857565640992,5.02652102108,-0.299762787769475,0.766801008629739,0.933124225559567,-6.27256059012274
"FSD2",0.0387758235128248,3.43814343644,0.346920773006692,0.731512800110791,0.922081774907204,-6.25728220021487
"ASB7",0.0387667150512856,5.31422243084,0.612293170801289,0.545794456393444,0.848814989726753,-6.13048664307246
"TEX9",0.0387628649743612,3.44788929788,0.149498833188328,0.88234244698556,0.970614710342646,-6.30644875290756
"ARHGEF15",-0.0387535171025588,6.78288344756,-0.22829272946636,0.821249212004271,0.949428853527391,-6.29149427244441
"DPYSL5",0.0387434262756421,2.58289688592,0.772724796370831,0.4468268269612,0.809810906458609,-6.02085809753552
"RPS23",0.0387269099359084,11.495248456,0.37538066789066,0.710498394156409,0.913798256111393,-6.24699414544344
"DPH3P1",0.0386930846666722,5.52556117564,0.430083494124693,0.670767112595389,0.900020486953788,-6.22497147952495
"SCARB1",0.0386816742179548,5.79019854424,0.267385671716613,0.791334494356801,0.940600854497301,-6.28176923077098
"BEND3",0.0386435980641036,5.12963913084,0.657199042205354,0.516972797654809,0.839430944082218,-6.10226749813967
"HPRT1",0.0386272389487221,7.87821000508,0.2627142232162,0.794893078426978,0.941198971180862,-6.28301160788596
"ZNF442",0.0386198335384638,4.40432081356,0.487760264399622,0.629909422823916,0.88330243832877,-6.19856364464314
