"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"MXRA5",2.76538795025641,8.6318980652,5.91364640466606,3.36159343238635e-06,0.000457830014713848,4.52798536472137,"up-regulated"
"FOXF1",-2.67837103788461,6.7733457822,-5.64269076453236,6.73322556698361e-06,0.000681485439748745,3.85805076497611,"down-regulated"
"PITX2",2.59074456520513,4.29740876176,4.56927704404999,0.000109877865578686,0.00452274434444636,1.16854011385211,"up-regulated"
"GALNT14",-2.56124294873077,3.74619751684,-7.64076842339558,4.8123101165951e-08,1.69678463710673e-05,8.60864566553956,"down-regulated"
"HOXC6",2.55270605082051,5.77725642124,3.44512462557632,0.00199272044469713,0.0314674688946437,-1.59282085915978,"up-regulated"
"F3",2.54550620009615,6.8240342302,3.25743366301683,0.00318244807626167,0.0428564281574503,-2.032517633244,"up-regulated"
"CNTN3",2.51877797232051,5.66194939756,6.0843138155756,2.1774637843426e-06,0.000328330432053374,4.94667415157764,"up-regulated"
"PTGDS",2.50869682676282,8.438545114,5.85862015103939,3.8689705926261e-06,0.000480435113001982,4.39242470378658,"up-regulated"
"SLPI",-2.48659296908974,7.45171666276,-4.09275643295979,0.000380174648314105,0.0105316150648248,-0.0204743825235729,"down-regulated"
"SERPINB2",2.48106576165385,3.62548385244,3.27550521893208,0.00304312316877709,0.0413691178151049,-1.99058627836488,"up-regulated"
"C13orf15",-2.42972095391026,7.6587621252,-5.33555453691448,1.48945581311479e-05,0.00117375053271235,3.09237391151506,"down-regulated"
"MEIS1",2.40205001673718,4.20579040188,8.24332536068374,1.19358134562192e-08,6.78367367086736e-06,9.93759942544223,"up-regulated"
"CYTL1",-2.36455962591026,6.05850437564,-4.47031543081297,0.000142284024069216,0.00539110518889952,0.920440001058385,"down-regulated"
"ALPK2",2.3518237803718,6.37638270604,8.22085077204665,1.2562095168072e-08,6.87518815920738e-06,9.88898471957168,"up-regulated"
"HMCN1",2.32616086412821,6.81169185032,5.04179687789603,3.1983721316425e-05,0.00191345526272394,2.35580118633256,"up-regulated"
"BMP4",-2.30964874284615,6.28230605328,-8.34982135923774,9.37573928872982e-09,5.67655619288744e-06,10.1669475460736,"down-regulated"
"TMEM200A",2.29740198382051,5.99484186208,6.63990572149707,5.40557197911207e-07,0.000115765416138173,6.28860482608326,"up-regulated"
"SFRP2",2.29668594803847,8.14339248252,3.88244749639756,0.000654574768043805,0.0153534148371164,-0.538468865602356,"up-regulated"
"SCN9A",-2.27450506369231,4.77061956112,-4.61889764777022,9.65170799402964e-05,0.004194802618464,1.29307856677781,"down-regulated"
"DPP4",2.25745806307052,7.21303100512,3.14697186792364,0.00417751474185974,0.049903908925191,-2.28678056217905,"up-regulated"
"CSTA",-2.23971656335897,6.60226720328,-4.54927840237049,0.000115770939190209,0.00465498736260143,1.11837081828309,"down-regulated"
"POSTN",2.20461214366666,10.54861142496,4.49602151592529,0.000133047738709788,0.00514311887482351,0.98484553493022,"up-regulated"
"STMN2",2.19427166373077,5.64329065636,3.60247577519407,0.0013392529672321,0.0246200067451094,-1.217720570007,"up-regulated"
"HOXC8",2.14265865680769,5.58972880996,3.31354019787443,0.00276887512137028,0.0389302261355743,-1.9020414258279,"up-regulated"
"IGFBP3",2.14224203438462,10.90317220712,5.35231494132342,1.42608585053888e-05,0.00113909570883314,3.13429544695858,"up-regulated"
"DHCR24",-2.14184341978205,6.73077885212,-5.32388260052288,1.53525667694695e-05,0.00118417329570837,3.06317176245785,"down-regulated"
"THSD4",-2.13105433871795,6.0532520928,-7.88184804667106,2.73905557002431e-08,1.09391957184458e-05,9.14669382942434,"down-regulated"
"GPX3",-2.08690690057692,7.0810484868,-3.53235669359607,0.00159951307794239,0.0275157214816701,-1.3855404467847,"down-regulated"
"CDH6",-2.04202833774359,5.39411809696,-3.7856601654517,0.000839305963395033,0.0181540510823296,-0.77479668396924,"down-regulated"
"C11orf41",1.95475022195513,5.122564171,7.97920358858511,2.18626466390496e-08,9.50189204074224e-06,9.36158772648196,"up-regulated"
"ANXA3",-1.95426717991026,5.51689275572,-3.47771287391457,0.00183590942739016,0.0300800296735281,-1.51558716711253,"down-regulated"
"SCG5",1.95181091514103,4.16731454396,4.80631510651446,5.91432179570563e-05,0.00293274943540745,1.76396677658794,"up-regulated"
"FAM198B",1.94807136808974,7.56450913676,3.63137961590821,0.00124444460867292,0.0235512318844906,-1.14825051831583,"up-regulated"
"LBH",1.93803963191026,6.88653102224,5.10532090509955,2.71033260703076e-05,0.00168370221034267,2.51531818822734,"up-regulated"
"SERINC2",-1.92944321944872,7.42805831028,-8.05060299113384,1.85460357857265e-08,8.90541389765186e-06,9.51830893242813,"down-regulated"
"ACAN",1.90753702553846,6.71591541472,4.43318696790429,0.000156763187447019,0.00570563946035617,0.827473739817234,"up-regulated"
"FAM107B",-1.90530569185898,6.6974388706,-7.3250501859088,1.01822802751625e-07,3.13465740887658e-05,7.89148528019245,"down-regulated"
"IRX5",1.90493215038462,7.9744313268,5.33222749657455,1.5023689884039e-05,0.00117375053271235,3.08405061441701,"up-regulated"
"TSPAN8",-1.89858334641026,4.9102201768,-3.25407790260374,0.00320898874317238,0.0431083878707802,-2.04029396500911,"down-regulated"
"GALNT12",-1.89282210316667,5.43481550148,-3.60986413147724,0.00131436755775034,0.0243693969898078,-1.19997856949439,"down-regulated"
"AVPI1",-1.8831195166923,8.24367396568,-11.243765746198,2.32465118256618e-11,5.72522842079674e-08,15.7679022274589,"down-regulated"
"RAC2",1.87830485772436,8.0335772044,6.85477844060888,3.18283910121081e-07,7.71029727845772e-05,6.79787229983834,"up-regulated"
"PLCB4",-1.83198295948718,6.3780282206,-7.75869427160877,3.64936753596287e-08,1.41912379155062e-05,8.87288313024796,"down-regulated"
"CD9",-1.82556079660897,9.09812704532,-7.09467352127818,1.77351432377694e-07,4.76494930226397e-05,7.35944577949797,"down-regulated"
"TFAP2B",-1.78560972823718,3.3240042206,-3.84661506277485,0.000717763448948581,0.0163801874984544,-0.626129939453063,"down-regulated"
"HAND2",1.78351206520513,5.05384331176,6.35683324496428,1.09487176659233e-06,0.000192484208486378,5.60918217344906,"up-regulated"
